id,news,label
1,New AI model helps diagnose diseases early.,1
2,Aliens captured by military in secret operation.,0
3,Stock market rises due to strong economic growth.,1
4,Drinking cold water cures all diseases instantly.,0
5,Scientists discover new species in Amazon rainforest.,1
6,Government to give free cars to all citizens.,0
7,ISRO successfully tests reusable launch vehicle.,1
8,Chocolate found to increase height by 2 feet.,0
9,Government launches new health scheme.,1
10,Mobile radiation turns humans into zombies.,0
11,New AI model helps diagnose diseases early.,1
12,Aliens captured by military in secret operation.,0
13,Stock market rises due to strong economic growth.,1
14,Drinking cold water cures all diseases instantly.,0
15,Scientists discover new species in Amazon rainforest.,1
16,Government to give free cars to all citizens.,0
17,ISRO successfully tests reusable launch vehicle.,1
18,Chocolate found to increase height by 2 feet.,0
19,Government launches new health scheme.,1
20,Mobile radiation turns humans into zombies.,0
21,New AI model helps diagnose diseases early.,1
22,Aliens captured by military in secret operation.,0
23,Stock market rises due to strong economic growth.,1
24,Drinking cold water cures all diseases instantly.,0
25,Scientists discover new species in Amazon rainforest.,1
26,Government to give free cars to all citizens.,0
27,ISRO successfully tests reusable launch vehicle.,1
28,Chocolate found to increase height by 2 feet.,0
29,Government launches new health scheme.,1
30,Mobile radiation turns humans into zombies.,0
31,New AI model helps diagnose diseases early.,1
32,Aliens captured by military in secret operation.,0
33,Stock market rises due to strong economic growth.,1
34,Drinking cold water cures all diseases instantly.,0
35,Scientists discover new species in Amazon rainforest.,1
36,Government to give free cars to all citizens.,0
37,ISRO successfully tests reusable launch vehicle.,1
38,Chocolate found to increase height by 2 feet.,0
39,Government launches new health scheme.,1
40,Mobile radiation turns humans into zombies.,0
41,New AI model helps diagnose diseases early.,1
42,Aliens captured by military in secret operation.,0
43,Stock market rises due to strong economic growth.,1
44,Drinking cold water cures all diseases instantly.,0
45,Scientists discover new species in Amazon rainforest.,1
46,Government to give free cars to all citizens.,0
47,ISRO successfully tests reusable launch vehicle.,1
48,Chocolate found to increase height by 2 feet.,0
49,Government launches new health scheme.,1
50,Mobile radiation turns humans into zombies.,0
51,New AI model helps diagnose diseases early.,1
52,Aliens captured by military in secret operation.,0
53,Stock market rises due to strong economic growth.,1
54,Drinking cold water cures all diseases instantly.,0
55,Scientists discover new species in Amazon rainforest.,1
56,Government to give free cars to all citizens.,0
57,ISRO successfully tests reusable launch vehicle.,1
58,Chocolate found to increase height by 2 feet.,0
59,Government launches new health scheme.,1
60,Mobile radiation turns humans into zombies.,0
61,New AI model helps diagnose diseases early.,1
62,Aliens captured by military in secret operation.,0
63,Stock market rises due to strong economic growth.,1
64,Drinking cold water cures all diseases instantly.,0
65,Scientists discover new species in Amazon rainforest.,1
66,Government to give free cars to all citizens.,0
67,ISRO successfully tests reusable launch vehicle.,1
68,Chocolate found to increase height by 2 feet.,0
69,Government launches new health scheme.,1
70,Mobile radiation turns humans into zombies.,0
71,New AI model helps diagnose diseases early.,1
72,Aliens captured by military in secret operation.,0
73,Stock market rises due to strong economic growth.,1
74,Drinking cold water cures all diseases instantly.,0
75,Scientists discover new species in Amazon rainforest.,1
76,Government to give free cars to all citizens.,0
77,ISRO successfully tests reusable launch vehicle.,1
78,Chocolate found to increase height by 2 feet.,0
79,Government launches new health scheme.,1
80,Mobile radiation turns humans into zombies.,0
81,New AI model helps diagnose diseases early.,1
82,Aliens captured by military in secret operation.,0
83,Stock market rises due to strong economic growth.,1
84,Drinking cold water cures all diseases instantly.,0
85,Scientists discover new species in Amazon rainforest.,1
86,Government to give free cars to all citizens.,0
87,ISRO successfully tests reusable launch vehicle.,1
88,Chocolate found to increase height by 2 feet.,0
89,Government launches new health scheme.,1
90,Mobile radiation turns humans into zombies.,0
91,New AI model helps diagnose diseases early.,1
92,Aliens captured by military in secret operation.,0
93,Stock market rises due to strong economic growth.,1
94,Drinking cold water cures all diseases instantly.,0
95,Scientists discover new species in Amazon rainforest.,1
96,Government to give free cars to all citizens.,0
97,ISRO successfully tests reusable launch vehicle.,1
98,Chocolate found to increase height by 2 feet.,0
99,Government launches new health scheme.,1
100,Mobile radiation turns humans into zombies.,0
101,New AI model helps diagnose diseases early.,1
102,Aliens captured by military in secret operation.,0
103,Stock market rises due to strong economic growth.,1
104,Drinking cold water cures all diseases instantly.,0
105,Scientists discover new species in Amazon rainforest.,1
106,Government to give free cars to all citizens.,0
107,ISRO successfully tests reusable launch vehicle.,1
108,Chocolate found to increase height by 2 feet.,0
109,Government launches new health scheme.,1
110,Mobile radiation turns humans into zombies.,0
111,New AI model helps diagnose diseases early.,1
112,Aliens captured by military in secret operation.,0
113,Stock market rises due to strong economic growth.,1
114,Drinking cold water cures all diseases instantly.,0
115,Scientists discover new species in Amazon rainforest.,1
116,Government to give free cars to all citizens.,0
117,ISRO successfully tests reusable launch vehicle.,1
118,Chocolate found to increase height by 2 feet.,0
119,Government launches new health scheme.,1
120,Mobile radiation turns humans into zombies.,0
